command,mean,stddev,median,user,system,min,max,parameter_width
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.009813490539622643,0.0008717974929456697,0.009623726,0.006923079245283022,0.0024509886792452827,0.008207469,0.01223709,0
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.008325864251655631,0.001219963242910493,0.007783357,0.0053954900662251636,0.0023879039735099352,0.006921073000000001,0.013184143,0
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.012075148339449535,0.0008033984654156865,0.011961530000000001,0.008943633027522935,0.0025626834862385304,0.009206158,0.015031416,0
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.012523861604,0.001087401149386771,0.012331687000000001,0.008942904000000005,0.0026134400000000003,0.009984208000000001,0.015267769,0
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.012672743320158105,0.0007413668795314894,0.012718403000000001,0.009376292490118579,0.002582865612648221,0.010275937,0.014976032,0
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 0,0.01079973372623574,0.0007486618471282186,0.010852091000000001,0.00759613307984791,0.0026361216730038024,0.00842705,0.012748268,0
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.009798866324999997,0.0004292713405515761,0.009774454500000002,0.006812549999999999,0.0025607468750000026,0.008458776000000001,0.010986200000000002,10
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.00909256939000001,0.0012393070456864488,0.009750894500000001,0.006368217499999999,0.0023018324999999995,0.006678239000000001,0.011350675000000001,10
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.01627342409625669,0.0007592281433228654,0.016375517000000003,0.013083711229946527,0.0027467647058823526,0.013705601000000001,0.018067147000000002,10
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.015599061295336796,0.0006018128802858053,0.015530207,0.01222387046632125,0.002968544041450776,0.014086222,0.017196449000000003,10
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.016248092442622958,0.0006597503708623485,0.016281919000000002,0.012621672131147546,0.002988896174863388,0.013679239000000001,0.017584641,10
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 10,0.009825396548821546,0.00044590282856212947,0.009841415000000001,0.006681791245791243,0.0026732457912457927,0.008674514000000001,0.011168534,10
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.012122650217391307,0.0003702305433276176,0.012110029000000001,0.008342272727272728,0.002739162055335968,0.011288596000000001,0.013357115000000001,20
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.009178894447019872,0.0011703381979396273,0.009770658000000002,0.0064816291390728505,0.002274778145695363,0.006893523,0.011136658,20
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.018217532857142858,0.0009809371823215165,0.018122263,0.015060795918367344,0.0027310884353741495,0.015518937000000002,0.020892342,20
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.014601883107692304,0.0006720576154868724,0.014695956000000001,0.010855297435897433,0.003270466666666666,0.012539972,0.016382081,20
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.01709342993922652,0.0008147856652689314,0.017044645,0.013661790055248615,0.002886093922651935,0.015341586,0.019698709000000002,20
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 20,0.01200298932806324,0.0003424785068790019,0.011974144,0.008646106719367594,0.0029347193675889316,0.011170323000000001,0.013412477,20
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.016708604520710064,0.0006925998519730541,0.016556039,0.013263201183431949,0.0029144082840236673,0.01542535,0.018960039,30
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.0082279576453202,0.0010916738667012286,0.007673837500000001,0.005417216748768476,0.002408485221674876,0.006765129000000001,0.010544302,30
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.022997720781249995,0.0008123226640418683,0.023080729,0.019560906249999992,0.003093289062500001,0.021021328000000002,0.024937043000000002,30
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.015158352629629626,0.0007407858549291826,0.015208071,0.011140190476190477,0.0032973492063492066,0.013062075000000001,0.018032259000000002,30
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.02171554964444445,0.0012771769305969871,0.021567964000000002,0.017673400000000002,0.0036564962962962974,0.01906845,0.026413428000000003,30
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 30,0.016822695849397596,0.0006773599799669537,0.016808419,0.013086753012048188,0.003042012048192771,0.015321318,0.01872984,30
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 40,0.01891288643452382,0.0018329915111663334,0.01847772,0.014974845238095228,0.0032901071428571406,0.016702904,0.029052134,40
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 40,0.009640476020997378,0.0011735875433796128,0.010074057,0.006813952755905515,0.0024527349081364825,0.007075324,0.011688034,40
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 40,0.032398284240000005,0.0018135657175173288,0.0320734345,0.02829877000000001,0.003783240000000001,0.02789985,0.037160508,40
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 40,0.016747196437837838,0.0012362686127445495,0.016615277,0.012302935135135135,0.00414387027027027,0.014509138000000001,0.028349034000000002,40
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 40,0.01833087400584795,0.0008221792301462334,0.018291959,0.014154742690058479,0.003486035087719298,0.016485946,0.020724559,40
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 40,0.01825044942941177,0.0012309566839061807,0.0178612715,0.014510705882352943,0.003092711764705882,0.016401241,0.021845982,40
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 50,0.02107943839097744,0.0017289128935635274,0.020769422000000003,0.017326390977443602,0.0032416541353383448,0.018304004000000002,0.024362272,50
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 50,0.009517967495238098,0.0008879078019271583,0.009834145,0.006878079365079364,0.0022487365079365087,0.0069985640000000005,0.010945841000000001,50
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 50,0.0376570596625,0.0019838384143394555,0.03760139850000001,0.033442237500000006,0.0036207750000000006,0.033101704,0.04248596,50
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 50,0.017107173282485875,0.000898811561203857,0.016990589,0.012790903954802263,0.003930610169491526,0.015105113000000002,0.019597693000000003,50
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 50,0.02076790475862069,0.0009837361584564732,0.02071318,0.017187172413793094,0.0033338344827586208,0.01894477,0.025935855,50
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 50,0.021285848174242426,0.0013294944582156005,0.021224653000000003,0.017299454545454538,0.0036394621212121193,0.018652741,0.024292618000000002,50
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 60,0.025204170826086947,0.0018298528069502682,0.025349313000000002,0.0214014,0.0035450695652173908,0.021468321000000002,0.028539603,60
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 60,0.00816875286666667,0.001087363726081536,0.0075209995,0.005607472727272727,0.0022640242424242438,0.006827294,0.010433022,60
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 60,0.043911424901408466,0.0018620991781339467,0.043757729,0.04019454929577463,0.0033360845070422537,0.039140801,0.051719162000000006,60
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 60,0.018001770057803467,0.0012630194521567211,0.01788816,0.013598028901734104,0.003977260115606937,0.015112393000000002,0.021310919,60
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 60,0.022533171443548397,0.0008544589833476125,0.022518764000000004,0.018477475806451597,0.00375191129032258,0.020495068,0.024547318000000002,60
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 60,0.0249673393697479,0.0017808229186608438,0.024809487,0.0214903949579832,0.003221529411764707,0.021448784000000002,0.028887325000000002,60
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 70,0.03433976728571428,0.0014127962473885422,0.034393252,0.030136880952380957,0.0038038095238095227,0.030722503,0.037498485000000005,70
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 70,0.00917467315443038,0.0011519736284876863,0.009718883000000001,0.006414526582278484,0.0023347873417721514,0.006979122000000001,0.010727156,70
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 70,0.04835335452307691,0.002495758693715845,0.048940428,0.043951769230769246,0.003819584615384615,0.043426327,0.054055375,70
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 70,0.02052141385106383,0.0027233296573118374,0.019727852,0.01624966666666667,0.003778191489361702,0.016404500000000002,0.025964555,70
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 70,0.02000454820394738,0.0008705094128093085,0.020153919,0.015638223684210518,0.0039664999999999995,0.017483237000000002,0.022539605,70
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 70,0.03555369778750001,0.0014959805903116629,0.03582215,0.03114107499999999,0.0040391375,0.031842742,0.038856782,70
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 80,0.06803614436585366,0.0028087169906800837,0.06743012100000001,0.06331704878048781,0.004251317073170731,0.06344195400000001,0.07298859,80
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 80,0.00939148887209303,0.0010393945792200887,0.009879991500000001,0.006724537790697681,0.002340034883720929,0.006860775,0.011330952,80
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 80,0.05488864784313728,0.0018928776682621026,0.054506648000000005,0.05029633333333331,0.004055490196078432,0.051356272,0.059842080000000006,80
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 80,0.023527618364864854,0.003055170060354561,0.023435475,0.019377864864864872,0.0038411283783783795,0.017886214,0.028644808,80
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 80,0.021860661592307686,0.0008448036670479261,0.021874557500000003,0.017603676923076923,0.003940292307692306,0.019545609000000002,0.025185173,80
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 80,0.06937713948837207,0.0031083692637347672,0.069600984,0.06485923255813952,0.004158767441860466,0.06257750000000001,0.07583137300000001,80
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 90,0.058970315215686304,0.0023942911838850116,0.059184905,0.05387666666666666,0.004588490196078431,0.05382503600000001,0.065433189,90
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 90,0.00817424308128079,0.0011339718412733814,0.007652435500000001,0.005669145320197045,0.0020839605911330016,0.0066730140000000005,0.01086109,90
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 90,0.06608405504545456,0.0013227334721050978,0.06612965950000001,0.06182161363636365,0.0037864772727272734,0.063476296,0.068649506,90
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 90,0.021679192730496455,0.001970436823225452,0.021316679,0.017061822695035457,0.004285531914893615,0.017227390000000002,0.02583803,90
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 90,0.02269063746511629,0.0011024422807317188,0.022687000000000002,0.018382186046511626,0.0040288217054263555,0.019878376,0.025383993,90
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 90,0.05865173293750001,0.002275042174339309,0.059008989,0.05368806249999999,0.004685604166666667,0.052454248,0.061886694000000006,90
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 100,0.07185172595238096,0.0026417348034267728,0.0714464705,0.06692669047619045,0.004326571428571428,0.066236848,0.078222863,100
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 100,0.008106462635416669,0.0010494578724192414,0.007628102000000001,0.005514277777777778,0.0022773020833333326,0.006912853,0.010818899,100
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 100,0.06514219556249999,0.002768483285420122,0.06473295700000001,0.061082770833333334,0.0035288749999999995,0.059733588000000004,0.072421687,100
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 100,0.022906342405228763,0.0036426514309981363,0.021635702,0.018368555555555555,0.004182490196078434,0.018234871,0.030281728,100
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 100,0.0243291401,0.0010950184048073154,0.0243118945,0.019676238461538455,0.004178407692307692,0.021775904000000002,0.026360024000000003,100
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 100,0.07058131132499998,0.0020967141273807626,0.0703712105,0.0649013,0.005029775000000001,0.066035358,0.07482581,100
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 110,0.06861818261363638,0.001679536547914213,0.06854430350000001,0.06420361363636364,0.003300568181818182,0.06574906300000001,0.07233816,110
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 110,0.009123877961636839,0.0012086012579025926,0.009714611000000001,0.006329629156010232,0.0023141764705882353,0.006817287,0.011333561,110
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 110,0.06905325670454548,0.0027445127125459035,0.0685330515,0.0643643409090909,0.0041477954545454535,0.06434369300000001,0.07558579600000001,110
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 110,0.02450048688372092,0.003722706667492721,0.023383428,0.02002993023255813,0.004079682170542635,0.019414924,0.032474010000000005,110
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 110,0.02637775506722689,0.0013275582056425665,0.026245474,0.021745789915966388,0.004320504201680671,0.024012056,0.029629388000000003,110
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 110,0.06820620897674419,0.001543797209202416,0.068390985,0.06280630232558139,0.00498506976744186,0.064484467,0.071809988,110
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 120,0.07143832843902441,0.002028759950714488,0.070923463,0.06595629268292683,0.005106073170731708,0.06868315600000001,0.076642877,120
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 120,0.007945233642857144,0.0011098307704075503,0.007427279,0.005558727272727268,0.002035074675324675,0.006734264,0.011595142000000001,120
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 120,0.07231396023684211,0.0031044203194861633,0.071709824,0.06726134210526313,0.004382315789473684,0.067372342,0.07981450000000001,120
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 120,0.025286559241935493,0.0018500041499663383,0.025648296,0.020534395161290322,0.004463524193548386,0.021327562,0.030723918000000003,120
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 120,0.02804589133333334,0.0009602754804597795,0.027908043,0.0229527927927928,0.00445243243243243,0.025984491000000002,0.030905545000000003,120
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 120,0.07124739304651166,0.0012789897175133037,0.07102829000000001,0.06576951162790698,0.0044673720930232565,0.068461904,0.073525328,120
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.07367780507317073,0.0021461653346777415,0.073000727,0.06825326829268291,0.004525853658536587,0.070828053,0.080897363,130
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.008077014551369865,0.0011233874494997963,0.0074689995,0.005482393835616443,0.0022059452054794524,0.006798286000000001,0.010371643,130
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.07643102305405404,0.002774837372148721,0.076451794,0.07137972972972971,0.0043689459459459465,0.07207275,0.08332652600000001,130
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.026295186252252262,0.0032820155298431577,0.025442697,0.02069006306306306,0.005118405405405404,0.021458757000000002,0.032733410000000004,130
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.024260156094827595,0.0013113683462730266,0.023970382000000002,0.019387568965517247,0.004462939655172415,0.022135536,0.028967484,130
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 130,0.07431538992500003,0.0013985497541909473,0.07401029,0.06790682499999998,0.005199775000000001,0.071743929,0.077589929,130
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.07952035974999999,0.0017918272628972174,0.0794125085,0.07438919444444442,0.0045269444444444445,0.07616202000000001,0.08517296,140
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.009367589109634556,0.001076177957214003,0.009851076,0.00655304318936877,0.002275039867109634,0.006838414,0.010876707000000001,140
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.08471254431428572,0.003863675115652453,0.08543268600000001,0.0788736857142857,0.004840028571428572,0.07639804700000001,0.09118142400000001,140
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.025030303661417334,0.002930816397987781,0.023990591000000002,0.019264811023622045,0.00535937007874016,0.021301947,0.036276537000000005,140
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.02464266407826087,0.001126553917722034,0.024547700000000002,0.018975730434782602,0.005267365217391305,0.022112886000000002,0.028371298000000003,140
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 140,0.07930589772222224,0.0016763140153318132,0.07934055450000001,0.07408908333333333,0.004605861111111112,0.076432872,0.083308622,140
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.08744278405882354,0.0023871379898882596,0.0872428385,0.08157317647058823,0.004871470588235293,0.082030138,0.091473685,150
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.008414968797250852,0.0012044969073161439,0.007873931,0.005694333333333333,0.0022783058419243983,0.006884467,0.011062263000000001,150
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.09174273900000002,0.0034004351769060014,0.09072253100000001,0.08605330303030301,0.004806939393939394,0.08595973100000001,0.09867574100000001,150
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.02844338620000001,0.003823734756991702,0.02754268,0.022783837499999997,0.005216524999999998,0.022636367,0.037259395,150
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.02565452360162601,0.0010750322009989597,0.025465572000000002,0.020521707317073177,0.004771146341463415,0.023435852,0.028682895000000003,150
libseff_automem_repo/bench/handler_stack_bench/output/massive 1000 1000 150,0.08633490142424244,0.0020903114589622468,0.086171887,0.08021599999999998,0.005383666666666666,0.083072088,0.09018656700000001,150
libseff_master_repo/bench/handler_stack_bench/output/massive 1000 1000 160,0.0864810924857143,0.0023834007861897105,0.08613277100000001,0.08132454285714284,0.004756742857142857,0.08303292000000001,0.09394107500000001,160
libseff_working_repo/bench/handler_stack_bench/output/massive 1000 1000 160,0.008111378051359513,0.0010622146806007352,0.007587873,0.005653432024169183,0.002192450151057401,0.00688297,0.010893271000000001,160
libseff_new_and_improved_repo/bench/handler_stack_bench/output/massive 1000 1000 160,0.08719776673529413,0.003270835730645862,0.0877227575,0.08165947058823529,0.005017999999999999,0.079675856,0.09305614400000001,160
libseff_binsearch_repo/bench/handler_stack_bench/output/massive 1000 1000 160,0.03634190376190477,0.0011046700016625873,0.036222636,0.030143047619047625,0.005635964285714284,0.033949986,0.039062364,160
libseff_binsearch_clever_repo/bench/handler_stack_bench/output/massive 1000 1000 160,0.03412295640659341,0.0015309061499720782,0.034152032,0.028453142857142857,0.005003274725274726,0.031492135000000004,0.039865267,160
